Fight#,Outcome,Fighter,Sig.str.landed,Sig.str.attempted,Sig.str.%,Head.landed,Head.attempted,Body.landed,Body.attempted,Leg.landed,Leg.attempted,Distance.landed,Distance.attempted,Clinch.landed,Clinch.attempted,Ground.landed,Ground.attempted
1,win,Robert Whittaker,14,21,66,12,19,0,0,2,2,12,18,0,0,2,3
2,win,Robert Whittaker,95,175,54,63,143,4,4,28,28,95,172,0,3,0,0
3,loss,Robert Whittaker,31,70,44,23,59,2,4,6,7,29,68,2,2,0,0
4,win,Robert Whittaker,74,166,44,49,138,6,9,19,19,72,163,0,0,2,3
5,loss,Robert Whittaker,59,136,43,38,105,8,11,13,20,54,130,5,6,0,0
6,win,Robert Whittaker,150,284,52,115,241,13,19,22,24,138,265,5,7,7,12
7,win,Robert Whittaker,69,151,45,59,138,5,8,5,5,62,137,1,2,6,12
8,win,Robert Whittaker,69,157,43,32,116,7,10,30,31,57,139,7,11,5,7
9,loss,Robert Whittaker,32,116,27,20,97,3,5,9,14,32,116,0,0,0,0
10,win,Robert Whittaker,128,326,39,57,225,23,39,48,62,119,308,9,17,0,1
11,win,Robert Whittaker,74,221,33,46,163,23,52,5,6,59,195,7,12,8,14
12,win,Robert Whittaker,55,110,50,47,97,7,12,1,1,40,85,1,4,14,21
13,win,Robert Whittaker,33,58,56,30,55,2,2,1,1,20,39,7,10,6,9
14,win,Robert Whittaker,89,176,50,51,129,10,11,28,36,83,166,2,4,4,6
15,win,Robert Whittaker,67,144,46,39,107,6,11,22,26,43,110,12,17,12,17
16,win,Robert Whittaker,10,14,71,9,12,0,1,1,1,7,11,0,0,3,3
17,win,Robert Whittaker,49,104,47,35,86,5,7,9,11,35,77,2,6,12,21
18,win,Robert Whittaker,66,183,36,46,163,10,10,10,10,62,177,3,4,1,2
19,loss,Robert Whittaker,19,66,28,17,64,0,0,2,2,18,64,1,2,0,0
20,loss,Robert Whittaker,48,184,26,48,181,0,3,0,0,47,181,1,3,0,0
21,win,Robert Whittaker,53,113,46,53,113,0,0,0,0,40,88,11,22,2,3
22,win,Robert Whittaker,83,202,41,64,172,15,25,4,5,60,167,17,24,6,11
1,loss,Ikram Aliskerov,5,15,33,3,10,1,4,1,1,5,15,0,0,0,0
2,loss,Paulo Costa,67,151,44,39,117,8,12,20,22,67,151,0,0,0,0
3,win,Dricus Du Plessis,62,104,59,38,77,11,13,13,14,41,77,8,10,13,17
4,loss,Marvin Vettori,33,116,28,15,94,7,10,11,12,33,116,0,0,0,0
5,win,Israel Adesanya,79,169,46,36,108,14,23,29,38,77,167,2,2,0,0
6,loss,Kelvin Gastelum,62,209,29,42,185,7,10,13,14,59,203,3,6,0,0
7,loss,Jared Cannonier,53,89,59,17,46,14,18,22,25,49,84,4,5,0,0
8,loss,Darren Till,41,99,41,29,86,7,8,5,5,31,87,7,9,3,3
9,win,Israel Adesanya,40,95,42,27,80,6,8,7,7,37,91,0,0,3,4
10,loss,Yoel Romero,111,240,46,76,194,19,27,16,19,66,177,25,40,20,23
11,loss,Yoel Romero,48,107,44,20,68,12,18,16,21,41,100,3,3,4,4
12,loss,Jacare Souza,9,36,25,6,31,3,5,0,0,6,32,3,4,0,0
13,loss,Derek Brunson,19,42,45,18,41,1,1,0,0,9,25,10,17,0,0
14,loss,Rafael Natal,62,137,45,36,95,4,15,22,27,61,135,1,2,0,0
15,loss,Uriah Hall,45,94,47,17,58,10,15,18,21,40,87,4,5,1,2
16,loss,Brad Tavares,2,7,28,0,5,0,0,2,2,2,7,0,0,0,0
17,loss,Clint Hester,28,61,45,21,52,3,4,4,5,21,51,4,5,3,5
18,loss,Mike Rhodes,47,146,32,25,115,4,8,18,23,44,142,3,4,0,0
19,win,Stephen Thompson,38,80,47,28,63,7,13,3,4,25,65,6,7,7,8
20,win,Court McGee,88,305,28,41,213,28,63,19,29,84,296,4,9,0,0
21,loss,Colton Smith,33,91,36,18,69,6,10,9,12,26,80,7,11,0,0
22,loss,Brad Scott,55,171,32,29,133,18,29,8,9,42,154,11,15,2,2
